,endTime,artistName,trackName,msPlayed
2263,2021-03-24 17:44,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered,212937
2264,2021-03-24 17:44,We The Kings,"Check Yes, Juliet",1151
2265,2021-03-24 17:44,Relient K,Be My Escape,9280
2266,2021-03-24 17:44,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,16002
2267,2021-03-24 17:46,Three Black Halflings | A Dungeons & Dragons Podcast,"""Paladin Sin List: #1. Microaggressions""",1370489
2268,2021-03-24 17:47,The Red Jumpsuit Apparatus,Face Down,192000
2269,2021-03-24 17:51,The All-American Rejects,"Swing, Swing",9181
2270,2021-03-24 17:51,Fall Out Boy,"Sugar, We're Goin Down",229093
2271,2021-03-24 17:52,Panic! At The Disco,I Write Sins Not Tragedies,13546
2272,2021-03-24 17:56,Point North,Hammer,4714
2273,2021-03-24 17:56,Parkway Drive,Wild Eyes,3940
2274,2021-03-24 17:56,Gideon,No Love/No One,746
2275,2021-03-24 17:56,Pierce The Veil,Besitos,264657
2276,2021-03-24 17:56,Sleeping With Sirens,Scene Three - Stomach Tied In Knots,3583
2277,2021-03-24 18:00,Pierce The Veil,Bulletproof Love,231125
2278,2021-03-25 01:58,Three Black Halflings | A Dungeons & Dragons Podcast,"""Paladin Sin List: #1. Microaggressions""",1138538
2279,2021-03-25 02:21,Three Black Halflings | A Dungeons & Dragons Podcast,"""Lighter In Tone But Not in Skin Tone""",1414485
2280,2021-03-25 21:11,Three Black Halflings | A Dungeons & Dragons Podcast,"""Lighter In Tone But Not in Skin Tone""",440917
2281,2021-03-25 21:15,Panic! At The Disco,Death of a Bachelor,203506
2282,2021-03-25 21:18,Panic! At The Disco,This Is Gospel,187186
2283,2021-03-25 21:21,Panic! At The Disco,Don't Threaten Me with a Good Time,213093
2284,2021-03-25 21:24,Panic! At The Disco,Emperor's New Clothes,158666
2285,2021-03-26 02:08,Three Black Halflings | A Dungeons & Dragons Podcast,"""Lighter In Tone But Not in Skin Tone""",990528
2286,2021-03-26 02:09,Three Black Halflings | A Dungeons & Dragons Podcast,"""Paladin Sin List: #1. Microaggressions""",21343
2287,2021-03-26 02:09,Three Black Halflings | A Dungeons & Dragons Podcast,Mansa Musa Ain't Got Nothing On Me: The Unati Story,12341
2288,2021-03-26 02:09,Three Black Halflings | A Dungeons & Dragons Podcast,"""Lighter In Tone But Not in Skin Tone""",4917
2289,2021-03-26 04:31,Three Black Halflings | A Dungeons & Dragons Podcast,Mansa Musa Ain't Got Nothing On Me: The Unati Story,415584
2290,2021-03-26 04:31,Not Another D&D Podcast,Welcome to Not Another D&D Podcast! (Meet the Party),2037
2291,2021-03-26 12:11,Not Another D&D Podcast,The Rotating Heroes Podcast - Arc 1 Ep. 5: The Godwalker (w/ DM Zac Oyama),1205045
2292,2021-03-26 12:53,Not Another D&D Podcast,The Rotating Heroes Podcast - Arc 1 Ep. 5: The Godwalker (w/ DM Zac Oyama),3899845
2293,2021-03-26 22:47,Not Another D&D Podcast,The Rotating Heroes Podcast - Arc 1 Ep. 5: The Godwalker (w/ DM Zac Oyama),18111
2294,2021-03-26 22:59,Not Another D&D Podcast,The Rotating Heroes Podcast - Arc 1 Ep. 5: The Godwalker (w/ DM Zac Oyama),719948
2295,2021-03-26 23:00,Not Another D&D Podcast,The Rotating Heroes Podcast - Arc 1 Ep. 5: The Godwalker (w/ DM Zac Oyama),65044
2296,2021-03-27 22:54,The Wonder Years,Summers in PA,3285
2297,2021-03-27 22:58,Panic! At The Disco,New Perspective,227093
2298,2021-03-27 23:00,Panic! At The Disco,Emperor's New Clothes,158666
2299,2021-03-27 23:04,Mayday Parade,Jamie All Over,216000
2300,2021-03-27 23:08,Fall Out Boy,"Sugar, We're Goin Down",229093
2301,2021-03-27 23:11,The Red Jumpsuit Apparatus,Face Down,192000
2302,2021-03-27 23:14,Pierce The Veil,Props & Mayhem,217853
2303,2021-03-27 23:17,blink-182,What's My Age Again?,148360
2304,2021-03-27 23:17,Jimmy Eat World,Sweetness,3998
2305,2021-03-27 23:20,All Time Low,"Dear Maria, Count Me In",182826
2306,2021-03-27 23:23,Good Charlotte,Lifestyles of the Rich & Famous,190173
2307,2021-03-27 23:26,The Offspring,"You're Gonna Go Far, Kid",177826
2308,2021-03-27 23:30,Panic! At The Disco,High Hopes,991
2309,2021-03-27 23:30,State Champs,Real World,6941
2310,2021-03-27 23:30,Rise Against,Savior,242280
2311,2021-03-27 23:30,We The Kings,"Check Yes, Juliet",597
2312,2021-03-27 23:30,The All-American Rejects,"Swing, Swing",842
2313,2021-03-27 23:30,Yellowcard,Ocean Avenue,437
2314,2021-03-27 23:30,Hot Milk,Candy Coated Lie$,234
2315,2021-03-27 23:34,Panic! At The Disco,Into the Unknown - Panic! At The Disco Version,189132
2316,2021-03-27 23:38,Pierce The Veil,Besitos,264657
2317,2021-03-27 23:42,Paramore,Misery Business,211520
2318,2021-03-27 23:45,New Found Glory,My Friends Over You,220200
2319,2021-03-27 23:49,The Maine,Black Butterflies and Déjà Vu,203057
2320,2021-03-27 23:52,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),186826
